row ID,row m/z,row retention time,Af-T,Af-L,Af-F,Af-B,Ah-L,Ahv-T,Ah-T,Ah-F,Ahv-F,Ahv-T,Ahv-L,Aj-B,Aj-L,Aj-T,Aj-F
43,795.4118,13.0414,14071.97576,670.3840724,7954.812412,18282.95831,15.821,230.109,55.862,0,32.95169998,66.548,16.9785,959.1387162,137.6755,317.6565059,46.48
44,403.1586,4.6688,13144.95763,709.0321333,88.4155,13235.90988,2209.487702,312.882,23495.33497,20.961,97.032,1553.322821,80.76,4969.318537,1580.527411,15783.16599,2518.147693
45,501.3574,17.2335,13738.26563,1072.414739,7851.042334,5986.245884,844.5562097,12002.12613,19034.79805,27080.17824,8742.393545,29760.90625,939.8424609,14457.44517,6619.529224,12375.32152,19534.95738
46,301.0698,8.0139,17428.45169,46254.42602,3762.198229,12427.82195,0,47.601,46.51171518,35.4,62.341,16.86,412.0841771,665.8510107,246.3765,157.099,250.1157363
47,337.0904,3.7516,10232.98333,6846.692797,233.6275187,14094.04198,12372.3599,11663.68535,5737.209621,110.3605,1635.089847,34957.34014,3490.88612,137.1023215,6887.547575,10323.26491,4223.890049
48,509.2232,4.8707,16893.12027,2010.447398,764.0683828,11501.99466,2219.233889,6538.703062,9120.890437,96.4845,759.4430023,12040.05328,4161.87139,2716.600713,14039.24075,11555.97642,809.6651335
49,681.2968,18.5431,12289.48154,12671.87031,13583.50781,8102.814482,6264.32,11409.65522,0,151.84,21924.40748,16224.53663,27352.59918,30567.15881,15191.94902,28370.24914,26321.0243
50,471.3464,21.4964,19514.74316,423.375,339,14427.72111,1807.358152,4154.495962,115.985,2711.708812,546.7061438,4060.801831,805.5160876,24512.12398,6711.064736,10823.51321,8472.394536
51,315.1582,6.5355,8355.730307,190.4645,846.7204502,7314.970277,469.582,2659.67025,13470.37655,274.0318542,3786.386329,19334.55919,440.5145821,7746.452957,318.996981,6891.103946,24.0155
52,315.0698,1.9734,14805.41063,6442.145411,1077.697677,5785.801045,6110.30003,7677.566546,23313.64242,497.7495636,6726.571785,12105.19976,2353.383451,8073.26515,1744.025138,13871.87523,1514.907396
53,605.405,17.112,11394.6213,9948.952354,0,6741.283594,0,0,0,0,0,0,0,0,0,0,0
54,341.1071,0.7927,16167.36613,17103.18783,1922.758523,18712.57697,16750.79062,11729.45714,9513.379074,3386.707791,2252.012931,9736.348073,4375.989,6180.574085,2556.352,8912.822601,1850.104999
55,305.064,2.0916,24112.02305,0,0,21641.60769,0,0,0,0,0,0,0,0,0,0,0
56,513.3582,15.6741,10229.92994,212.3464143,983.4404653,9303.47476,45.08402145,2411.573418,280.6962463,23.352,26.652,3973.207835,16.389,956.9246975,31.401,241.6282739,52.54
57,272.9557,0.6774,7002.444625,7608.341316,5253.615618,10590.78487,6822.896367,1131.111853,1718.003197,628.1562031,5293.395356,1215.878029,5752.634599,386.6820833,12717.76717,3509.962705,216.9490901
58,517.3904,19.8135,9173.415938,1227.372666,2015.532161,4245.897905,0,50.25,56.58,36.63,103.2367859,68.845,71.36,292.0499954,99.40305908,75.5615625,60.2
59,179.053,0.7901,16499.55443,35392.00411,6713.901328,36542.22862,14967.75234,13565.3175,14870.00489,1533.173923,14577.36927,6693.03232,12043.68821,9708.246844,9583.488,22534.74334,7376.313431
60,433.0587,1.6796,7853.456016,2553.092384,2436.503157,10320.02359,6512.803978,704.1287986,4024.259212,3500.826814,131.8427524,3156.573479,2471.46583,473.2613957,839.201084,1704.69798,11502.89992
