"shared name","IDs","cor"," p_value","Af-T","Af-L","Af-F","Af-B","Ah-L","Ahv-T","Ah-T","Ah-F","Ahv-F","Ahv-T.1","Ahv-L","Aj-B","Aj-L","Aj-T","Aj-F"
"81","343.1535_7.9898","0.317143505195277","0.249413200237065","2.026529e-03","6.262131e-05","1.105482e-04","2.361167e-03","8.414423e-03","5.108365e-03","4.174050e-02","8.595806e-04","1.387142e-03","9.659530e-03","2.400154e-03","2.295961e-03","2.452733e-03","2.220981e-02","1.641899e-03"
"82","649.4335_16.1138","-0.394682884740914","0.145426961819602","2.936369e-03","2.674232e-02","9.890721e-04","4.910266e-03","6.499778e-06","8.176334e-05","1.833417e-07","7.925479e-05","1.181595e-05","3.228761e-05","6.693764e-04","2.508535e-04","1.974410e-04","1.445176e-05","7.057056e-05"
"83","447.0916_5.2913","-0.286852548329514","0.299929320523195","2.172824e-05","5.254732e-02","2.679615e-05","7.411781e-04","1.918658e-02","2.022824e-04","2.825326e-04","3.309255e-04","8.801752e-05","3.580722e-04","1.146031e-02","3.353958e-04","2.571243e-02","3.863238e-03","1.596703e-04"
"84","691.4429_18.2115","-0.443468215843045","0.0977759802943535","4.734997e-03","2.394951e-02","1.334125e-04","7.375943e-03","3.262878e-05","2.251165e-05","1.010580e-05","2.940616e-05","8.645082e-06","2.206385e-05","1.273365e-03","5.560238e-04","2.147933e-04","1.609595e-07","4.505104e-05"
"85","463.0865_4.6664","-0.34189650537331","0.212289354793245","2.255522e-03","3.143652e-02","5.889701e-04","2.206600e-03","6.919070e-03","1.547924e-04","3.525013e-04","6.171019e-04","1.017382e-03","1.280223e-03","1.066346e-02","9.233857e-05","4.183262e-03","1.496020e-03","7.419338e-04"
"86","679.4438_15.3235","-0.361386006853401","0.185675084201973","1.327477e-03","1.294187e-02","2.731748e-05","1.590540e-03","1.571264e-05","2.156032e-06","6.537599e-06","6.979790e-05","2.068202e-07","6.365579e-06","1.640837e-04","3.204373e-05","5.362116e-05","1.609595e-07","1.301062e-05"
"87","269.0795_8.2737","-0.490036585266203","0.0636912086118839","5.494330e-03","8.583135e-03","3.020767e-04","1.466466e-03","1.614129e-05","5.675481e-06","3.994164e-05","5.256262e-07","2.068202e-07","1.830873e-07","1.668240e-04","1.711298e-05","1.596370e-05","1.038060e-05","3.458650e-06"
"88","116.9253_26.0862","0.0406680723314288","0.885578986073486","3.225139e-02","1.545161e-02","8.055333e-03","1.401883e-02","2.773316e-02","1.870106e-02","1.853099e-05","2.986760e-02","1.443446e-02","1.291824e-02","2.681738e-02","2.208005e-02","1.380328e-02","1.071041e-02","1.008450e-02"
"89","895.1955_5.2822","-0.347496593127224","0.204407443478907","1.803564e-05","1.936019e-02","5.246747e-07","2.416936e-07","1.876445e-03","1.626212e-07","1.833417e-07","1.673436e-05","2.068202e-07","7.064790e-06","2.844309e-03","4.338047e-06","6.376747e-03","2.950447e-04","3.248564e-06"
"90","635.417_15.25","-0.306640306841238","0.266295821853523","8.057652e-05","8.378899e-03","3.791621e-04","1.214172e-05","1.349701e-05","1.626212e-07","4.173224e-06","5.256262e-07","1.264395e-05","1.771553e-05","3.376538e-05","1.135965e-05","3.300765e-05","1.035614e-05","7.427871e-06"
"91","1299.881_16.1101","-0.287199228713918","0.299319596785541","2.134699e-07","1.692153e-02","5.246747e-07","2.416936e-07","2.572132e-07","1.626212e-07","1.833417e-07","5.256262e-07","2.068202e-07","1.830873e-07","2.868456e-07","2.182555e-07","2.198751e-07","1.609595e-07","1.807972e-07"
"92","431.0964_5.8697","-0.338298468007154","0.217453794936854","1.166958e-04","1.196594e-02","9.817512e-05","2.171752e-04","3.485473e-03","1.460185e-04","9.164518e-05","1.494881e-05","1.738923e-05","1.297104e-04","5.287218e-03","5.493535e-05","7.222237e-03","1.448572e-03","2.380445e-05"
"93","269.0437_10.5275","-0.522218505884737","0.0458311750301015","3.540534e-03","5.946019e-03","2.722261e-04","1.770133e-03","2.894060e-05","1.331656e-05","9.280758e-06","5.256262e-07","2.969110e-06","1.968875e-05","2.115342e-04","2.171265e-05","6.340934e-05","3.124373e-05","1.302454e-05"
"94","677.4295_17.4478","-0.382302238900946","0.159634934348854","3.421902e-04","5.393484e-03","3.263476e-05","1.360520e-03","1.074894e-05","3.821274e-05","3.887921e-05","3.647846e-05","1.030792e-05","2.918194e-05","1.262238e-04","3.534648e-05","1.600141e-05","3.308925e-05","1.807972e-07"
"95","927.1883_4.7082","-0.301200980556517","0.275303589991929","1.165781e-05","5.514241e-03","5.246747e-07","2.416936e-07","2.849914e-04","1.626212e-07","1.833417e-07","5.393450e-06","2.068202e-07","2.555899e-05","8.257271e-04","1.022309e-05","4.930426e-05","1.609595e-07","8.502439e-06"
"96","651.4099_12.1786","-0.289280511716414","0.295674439901248","2.242672e-05","4.585835e-03","6.101966e-06","3.220597e-05","2.572132e-07","6.336048e-06","4.814554e-06","3.252575e-05","2.068202e-07","1.830873e-07","3.346236e-05","2.182555e-07","2.154446e-05","1.339610e-05","3.701913e-05"
"97","477.0665_4.7258","-0.274927640271194","0.321343693340961","5.616096e-04","8.240724e-03","1.196812e-04","4.794389e-04","1.929586e-03","6.193706e-05","2.238916e-04","1.863883e-04","1.264731e-04","3.278811e-04","1.112566e-03","3.587248e-04","5.876077e-03","2.823899e-03","5.089518e-04"
"98","277.2142_17.614","-0.0437356193715411","0.87700664247154","4.792009e-04","5.467683e-03","4.479007e-04","4.237420e-04","6.561277e-03","8.769114e-04","1.833417e-07","8.154301e-05","4.773119e-04","6.447362e-04","4.859998e-03","4.464833e-04","1.842533e-03","2.118307e-03","6.363295e-04"
"99","301.0322_6.9173","-0.507251133858271","0.0536041329839421","1.284654e-03","1.060454e-02","1.770360e-03","3.627252e-03","7.580778e-05","1.626212e-07","2.861066e-05","4.137738e-04","1.429620e-04","4.082444e-05","1.601370e-03","6.375910e-05","5.202673e-04","4.660552e-05","4.606433e-05"
