CLUSTERID1	interact	CLUSTERID2	DeltaMZ	MEH	Cosine	OtherScore	ComponentIndex	SharedMotifs	topX
105	cosine	105	0	1	1	1	-1	motif_21	NA
106	cosine	106	0	1	1	1	-1	motif_49	NA
107	cosine	107	0	1	1	1	-1	motif_80	NA
114	cosine	114	0	1	1	1	-1		NA
115	cosine	115	0	1	1	1	-1	motif_38	NA
116	cosine	116	0	1	1	1	-1	motif_29,motif_39,motif_8	NA
118	cosine	118	0	1	1	1	-1	motif_49,motif_86	NA
120	cosine	120	0	1	1	1	-1	motif_17	NA
123	cosine	123	0	1	1	1	-1	motif_79	NA
124	cosine	124	0	1	1	1	-1	motif_85	NA
125	cosine	125	0	1	1	1	-1	motif_3	NA
126	cosine	126	0	1	1	1	-1		NA
128	cosine	128	0	1	1	1	-1	motif_39,motif_49	NA
130	cosine	130	0	1	1	1	-1	motif_39,motif_4	NA
134	cosine	134	0	1	1	1	-1	motif_26	NA
136	cosine	136	0	1	1	1	-1	motif_1	NA
137	cosine	137	0	1	1	1	-1	motif_64	NA
138	cosine	138	0	1	1	1	-1	motif_39	NA
142	cosine	142	0	1	1	1	-1	motif_58,motif_76	NA
143	cosine	143	0	1	1	1	-1	motif_63	NA
144	cosine	144	0	1	1	1	-1	motif_62	NA
145	cosine	145	0	1	1	1	-1	motif_18	NA
149	cosine	149	0	1	1	1	-1		NA
154	cosine	154	0	1	1	1	-1	motif_4	NA
156	cosine	156	0	1	1	1	-1		NA
160	cosine	160	0	1	1	1	-1	motif_94	NA
161	cosine	161	0	1	1	1	-1	motif_89	NA
163	cosine	163	0	1	1	1	-1	motif_89	NA
164	cosine	164	0	1	1	1	-1	motif_31	NA
165	cosine	165	0	1	1	1	-1	motif_79	NA
166	cosine	166	0	1	1	1	-1	motif_54	NA
167	cosine	167	0	1	1	1	-1	motif_58,motif_79	NA
168	cosine	168	0	1	1	1	-1	motif_63,motif_78	NA
169	cosine	169	0	1	1	1	-1	motif_5	NA
171	cosine	171	0	1	1	1	-1	motif_37	NA
172	cosine	172	0	1	1	1	-1	motif_73	NA
174	cosine	174	0	1	1	1	-1	motif_42	NA
177	cosine	177	0	1	1	1	-1	motif_72,motif_83,motif_84	NA
182	cosine	182	0	1	1	1	-1	motif_67,motif_77	NA
183	cosine	183	0	1	1	1	-1	motif_77,motif_94	NA
184	cosine	184	0	1	1	1	-1		NA
185	cosine	185	0	1	1	1	-1	motif_14,motif_39,motif_49,motif_77	NA
186	cosine	186	0	1	1	1	-1	motif_83	NA
188	cosine	188	0	1	1	1	-1		NA
192	cosine	192	0	1	1	1	-1	motif_18	NA
193	cosine	193	0	1	1	1	-1	motif_97	NA
194	cosine	194	0	1	1	1	-1	motif_61	NA
198	cosine	198	0	1	1	1	-1	motif_82	NA
201	cosine	201	0	1	1	1	-1	motif_3,motif_34	NA
204	cosine	204	0	1	1	1	-1	motif_85	NA
209	cosine	209	0	1	1	1	-1	motif_78	NA
210	cosine	210	0	1	1	1	-1	motif_6	NA
212	cosine	212	0	1	1	1	-1	motif_2,motif_39	NA
220	cosine	220	0	1	1	1	-1		NA
222	cosine	222	0	1	1	1	-1	motif_1	NA
223	cosine	223	0	1	1	1	-1	motif_46	NA
224	cosine	224	0	1	1	1	-1	motif_21,motif_3	NA
225	cosine	225	0	1	1	1	-1	motif_78,motif_82	NA
227	cosine	227	0	1	1	1	-1	motif_49	NA
230	cosine	230	0	1	1	1	-1	motif_98	NA
231	cosine	231	0	1	1	1	-1	motif_84	NA
232	cosine	232	0	1	1	1	-1	motif_31	NA
236	cosine	236	0	1	1	1	-1	motif_11,motif_41	NA
237	cosine	237	0	1	1	1	-1	motif_32	NA
252	cosine	252	0	1	1	1	-1	motif_49,motif_57,motif_97	NA
253	cosine	253	0	1	1	1	-1	motif_6	NA
254	cosine	254	0	1	1	1	-1	motif_41,motif_72	NA
