cluster index	CF_componentindex	CF_NrNodes	CF_kingdom	CF_kingdom_score	CF_superclass	CF_superclass_score	CF_class	CF_class_score	CF_subclass	CF_subclass_score	CF_Dparent	CF_Dparent_score	CF_MFramework	CF_MFramework_score
214	1	70	Organic compounds	0.8	Lipids and lipid-like molecules	0.522783446712018	Prenol lipids	0.35197845804988664	Triterpenoids	0.19715419501133788	Triterpenoids	0.1761451247165533	Aliphatic heteropolycyclic compounds	0.24446712018140593
218	1	70	Organic compounds	0.8	Lipids and lipid-like molecules	0.522783446712018	Prenol lipids	0.35197845804988664	Triterpenoids	0.19715419501133788	Triterpenoids	0.1761451247165533	Aliphatic heteropolycyclic compounds	0.24446712018140593
238	1	70	Organic compounds	0.8	Lipids and lipid-like molecules	0.522783446712018	Prenol lipids	0.35197845804988664	Triterpenoids	0.19715419501133788	Triterpenoids	0.1761451247165533	Aliphatic heteropolycyclic compounds	0.24446712018140593
240	1	70	Organic compounds	0.8	Lipids and lipid-like molecules	0.522783446712018	Prenol lipids	0.35197845804988664	Triterpenoids	0.19715419501133788	Triterpenoids	0.1761451247165533	Aliphatic heteropolycyclic compounds	0.24446712018140593
245	1	70	Organic compounds	0.8	Lipids and lipid-like molecules	0.522783446712018	Prenol lipids	0.35197845804988664	Triterpenoids	0.19715419501133788	Triterpenoids	0.1761451247165533	Aliphatic heteropolycyclic compounds	0.24446712018140593
248	1	70	Organic compounds	0.8	Lipids and lipid-like molecules	0.522783446712018	Prenol lipids	0.35197845804988664	Triterpenoids	0.19715419501133788	Triterpenoids	0.1761451247165533	Aliphatic heteropolycyclic compounds	0.24446712018140593
249	1	70	Organic compounds	0.8	Lipids and lipid-like molecules	0.522783446712018	Prenol lipids	0.35197845804988664	Triterpenoids	0.19715419501133788	Triterpenoids	0.1761451247165533	Aliphatic heteropolycyclic compounds	0.24446712018140593
251	1	70	Organic compounds	0.8	Lipids and lipid-like molecules	0.522783446712018	Prenol lipids	0.35197845804988664	Triterpenoids	0.19715419501133788	Triterpenoids	0.1761451247165533	Aliphatic heteropolycyclic compounds	0.24446712018140593
263	1	70	Organic compounds	0.8	Lipids and lipid-like molecules	0.522783446712018	Prenol lipids	0.35197845804988664	Triterpenoids	0.19715419501133788	Triterpenoids	0.1761451247165533	Aliphatic heteropolycyclic compounds	0.24446712018140593
274	1	70	Organic compounds	0.8	Lipids and lipid-like molecules	0.522783446712018	Prenol lipids	0.35197845804988664	Triterpenoids	0.19715419501133788	Triterpenoids	0.1761451247165533	Aliphatic heteropolycyclic compounds	0.24446712018140593
278	1	70	Organic compounds	0.8	Lipids and lipid-like molecules	0.522783446712018	Prenol lipids	0.35197845804988664	Triterpenoids	0.19715419501133788	Triterpenoids	0.1761451247165533	Aliphatic heteropolycyclic compounds	0.24446712018140593
284	1	70	Organic compounds	0.8	Lipids and lipid-like molecules	0.522783446712018	Prenol lipids	0.35197845804988664	Triterpenoids	0.19715419501133788	Triterpenoids	0.1761451247165533	Aliphatic heteropolycyclic compounds	0.24446712018140593
290	1	70	Organic compounds	0.8	Lipids and lipid-like molecules	0.522783446712018	Prenol lipids	0.35197845804988664	Triterpenoids	0.19715419501133788	Triterpenoids	0.1761451247165533	Aliphatic heteropolycyclic compounds	0.24446712018140593
323	1	70	Organic compounds	0.8	Lipids and lipid-like molecules	0.522783446712018	Prenol lipids	0.35197845804988664	Triterpenoids	0.19715419501133788	Triterpenoids	0.1761451247165533	Aliphatic heteropolycyclic compounds	0.24446712018140593
324	1	70	Organic compounds	0.8	Lipids and lipid-like molecules	0.522783446712018	Prenol lipids	0.35197845804988664	Triterpenoids	0.19715419501133788	Triterpenoids	0.1761451247165533	Aliphatic heteropolycyclic compounds	0.24446712018140593
325	1	70	Organic compounds	0.8	Lipids and lipid-like molecules	0.522783446712018	Prenol lipids	0.35197845804988664	Triterpenoids	0.19715419501133788	Triterpenoids	0.1761451247165533	Aliphatic heteropolycyclic compounds	0.24446712018140593
326	1	70	Organic compounds	0.8	Lipids and lipid-like molecules	0.522783446712018	Prenol lipids	0.35197845804988664	Triterpenoids	0.19715419501133788	Triterpenoids	0.1761451247165533	Aliphatic heteropolycyclic compounds	0.24446712018140593
328	1	70	Organic compounds	0.8	Lipids and lipid-like molecules	0.522783446712018	Prenol lipids	0.35197845804988664	Triterpenoids	0.19715419501133788	Triterpenoids	0.1761451247165533	Aliphatic heteropolycyclic compounds	0.24446712018140593
329	1	70	Organic compounds	0.8	Lipids and lipid-like molecules	0.522783446712018	Prenol lipids	0.35197845804988664	Triterpenoids	0.19715419501133788	Triterpenoids	0.1761451247165533	Aliphatic heteropolycyclic compounds	0.24446712018140593
336	1	70	Organic compounds	0.8	Lipids and lipid-like molecules	0.522783446712018	Prenol lipids	0.35197845804988664	Triterpenoids	0.19715419501133788	Triterpenoids	0.1761451247165533	Aliphatic heteropolycyclic compounds	0.24446712018140593
344	1	70	Organic compounds	0.8	Lipids and lipid-like molecules	0.522783446712018	Prenol lipids	0.35197845804988664	Triterpenoids	0.19715419501133788	Triterpenoids	0.1761451247165533	Aliphatic heteropolycyclic compounds	0.24446712018140593
364	1	70	Organic compounds	0.8	Lipids and lipid-like molecules	0.522783446712018	Prenol lipids	0.35197845804988664	Triterpenoids	0.19715419501133788	Triterpenoids	0.1761451247165533	Aliphatic heteropolycyclic compounds	0.24446712018140593
386	1	70	Organic compounds	0.8	Lipids and lipid-like molecules	0.522783446712018	Prenol lipids	0.35197845804988664	Triterpenoids	0.19715419501133788	Triterpenoids	0.1761451247165533	Aliphatic heteropolycyclic compounds	0.24446712018140593
