,SMILES
93,CC1=C2[C@H]([C@@H]([C@@]3([C@@H](C[C@@H]([C@]4([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)C)O)OC(=O)C)CO4)OC(=O)C)O)C)OC(=O)C)OC(=O)C
94,[C@]123[C@@]4([C@@]([C@H](CC4)C4=CC(=O)OC4)(C(=O)[C@H]([C@H]1[C@@]1(C(=C[C@H]([C@@H](C1)O)O[C@H]1[C@@H]([C@@H](C[C@H](O1)C)O)O)C[C@@H]2O3)C)O)C)O
95,C1([C@H](C(=CC(=O)C1)C)/C=C/[C@H](O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)COC(=O)c1cc(c(c(c1)O)O)O)O)O)O)C)(C)C
96,CC(C)C(C)CCC(C)C1CC(C2(C3=C(C(CC12C)O)C1(C)CCC(C(=C)C1CC3)O)O)O
97,C=Cc1c(C)c2C=C3C4=CC=C(C(C(=O)OC)[C@@]4(C)C(=CC4=NC(=Cc5c(CCC(=O)O)c(C)c(Cc1[nH]2)[nH]5)C(=C4C)CCC(=O)OC)N3)C(=O)OC
98,c1c(cc(c(c1O)O)O[C@@H]1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)O)c1c(c(=O)c2c(cc(cc2o1)O)O)O
99,C=C1C2CCC3C4(C)CCCC(C)(C4CCC3(C2)C1OC(=O)CC(C)(C)OC)C(=O)O
100,COc1ccccc1c1cncnc1c1ccc(cc1O)OCc1ccccc1Cl
101,CC(C)[C@@H](C(=N[C@@H](Cc1ccccc1)C[C@@H]([C@H](Cc1ccccc1)N=C(O)OCc1cncs1)O)O)N=C(N(C)Cc1csc(C(C)C)n1)O
102,c12c(c(c(c(c2O)O)O)Oc2c(c(cc(c2)C(=O)O)O)O)C(=O)O[C@H]2[C@@H]([C@H]([C@@H](O[C@@H]2COC(=O)c2c1c(c(c(c2)O)O)O)O)OC(=O)c1cc(c(c(c1)O)O)O)O
103,c1c(cc(c(c1O)O)O)C(=O)O[C@H]1C([C@H]2[C@@H](C(COC(=O)c3cc(c(c(c3c3c(cc(c(c3O)O)O)C(=O)O2)O)O)O)O1)O)O
104,CC(=O)OC(C)(C)/C=C/C(=O)C(C)(C1C(CC2(C)C3C(C=C4C(C=C(C(=O)C4(C)C)O)C3(C)C(=O)CC12C)O)O)O
105,[C@@]12([C@]3([C@@H]([C@@]4([C@@H](CC3)[C@@]([C@H](CC4)O)(COC(=O)/C=C/c3cc(c(cc3)O)O)C)C)CC=C1[C@@H]1[C@](CC2)(C(=O)O)CCC(C1)(C)C)C)C
