RT,BPI,TIC,Species,Parts
4.485,9439,154112,Alnus_firma,barks
4.508,14314,166692,Alnus_firma,barks
4.548,7638,147809,Alnus_firma,barks
4.561,6164,140168,Alnus_firma,barks
4.575,4810,143148,Alnus_firma,barks
4.589,3021,130595,Alnus_firma,barks
4.602,3146,136102,Alnus_firma,barks
4.632,2685,131993,Alnus_firma,barks
4.665,5164,156742,Alnus_firma,barks
4.699,4696,148179,Alnus_firma,barks
4.738,1883,125264,Alnus_firma,barks
4.762,2319,134805,Alnus_firma,barks
4.775,1541,113175,Alnus_firma,barks
4.789,1676,117226,Alnus_firma,barks
4.809,1633,108202,Alnus_firma,barks
4.822,1984,122304,Alnus_firma,barks
4.836,2317,119695,Alnus_firma,barks
4.859,3816,145799,Alnus_firma,barks
4.883,2506,142087,Alnus_firma,barks
4.922,4368,129025,Alnus_firma,barks
4.956,2442,114897,Alnus_firma,barks
4.97,3457,111783,Alnus_firma,barks
4.999,6133,115007,Alnus_firma,barks
5.022,3280,118730,Alnus_firma,barks
5.056,3131,128897,Alnus_firma,barks
5.095,17635,141211,Alnus_firma,barks
5.129,23365,149225,Alnus_firma,barks
5.163,10603,141776,Alnus_firma,barks
5.202,11860,138456,Alnus_firma,barks
5.236,3796,118208,Alnus_firma,barks
5.275,3733,152282,Alnus_firma,barks
5.309,1725,110531,Alnus_firma,barks
5.332,2938,105324,Alnus_firma,barks
5.346,5308,105255,Alnus_firma,barks
5.359,7270,104600,Alnus_firma,barks
5.389,3893,104511,Alnus_firma,barks
5.402,1773,98305,Alnus_firma,barks
5.416,1409,108621,Alnus_firma,barks
5.419,2105,117388,Alnus_firma,barks
5.443,7893,123515,Alnus_firma,barks
5.483,4002,116405,Alnus_firma,barks
5.506,2927,111107,Alnus_firma,barks
5.53,5155,128414,Alnus_firma,barks
5.569,3090,119235,Alnus_firma,barks
5.603,1663,95656,Alnus_firma,barks
5.616,1806,101510,Alnus_firma,barks
5.63,1540,92855,Alnus_firma,barks
5.643,1533,92714,Alnus_firma,barks
5.663,2502,97571,Alnus_firma,barks
5.676,1693,93588,Alnus_firma,barks
5.69,2057,99362,Alnus_firma,barks
5.713,16880,123295,Alnus_firma,barks
5.753,19110,153307,Alnus_firma,barks
5.786,82840,430551,Alnus_firma,barks
5.82,80932,405358,Alnus_firma,barks
5.86,27329,195180,Alnus_firma,barks
5.893,6918,141477,Alnus_firma,barks
5.927,9473,124397,Alnus_firma,barks
5.966,1830,96491,Alnus_firma,barks
5.98,2110,94593,Alnus_firma,barks
